Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,11.457415703576963,31.060091211249766
1170.9715454037064,1170.9715454037064,1182.0797868467503,1201.334589938989
2343.106044071018,2343.106044071018,2355.175511851978,2372.7907091311085
3630.042003924557,3630.042003924557,3640.620285377252,3663.0560046427127
4982.254662138999,4982.254662138999,4993.492077322929,5013.038583083516
6422.584521254207,6422.584521254207,6433.186401951112,6450.7969432786285
8085.509706579252,8085.509706579252,8095.998455796847,8118.284962432887
9322.031284438668,9322.031284438668,9333.313524035893,9351.524793982468
10647.199684009442,10647.199684009442,10659.36457775838,10680.094543645044
11973.924017318299,11973.924017318299,11985.051964224196,12005.42929219392
13177.522232030282,13177.522232030282,13189.662588211633,13208.565642721847
14610.875559358767,14610.875559358767,14622.320846429697,14643.637843501496
15966.303273150927,15966.303273150927,15976.497414346544,15994.565335956282
17163.66427324206,17163.66427324206,17173.91372362966,17192.952750558114
18446.54128446195,18446.54128446195,18458.022894159298,18477.68295157917
19634.359203052474,19634.359203052474,19645.60514700856,19667.951879024582
20731.903982055454,20731.903982055454,20742.28246530235,20763.793729421184
21947.759714717402,21947.759714717402,21958.891352002764,21980.10139529712
23204.9379780471,23204.9379780471,23215.89363871488,23238.83867086872
24498.21204570561,24498.21204570561,24510.454932005516,24528.43374415692
25906.465612666296,25906.465612666296,25918.347553248925,25941.13436863276
27335.151621844674,27335.151621844674,27345.58381015165,27364.47672531347
28637.54100660517,28637.54100660517,28648.632403542964,28670.22573202278
30025.73050739615,30025.73050739615,30037.138403882436,30058.79189868654
31296.06175895755,31296.06175895755,31307.506848451078,31326.770372253035
32692.39823519112,32692.39823519112,32704.579022457947,32725.509678695948
33910.65740194283,33910.65740194283,33922.20843362803,33943.235392843635
35133.87110108983,35133.87110108983,35145.304741561595,35165.25847254576
36562.974484384904,36562.974484384904,36574.556251176225,36596.65924402373
37807.09175511268,37807.09175511268,37818.37708180228,37836.90970790193
39195.96705862413,39195.96705862413,39207.34575135889,39227.46657931712
40518.27376749228,40518.27376749228,40529.29890250528,40551.16496911641
41726.30953507402,41726.30953507402,41736.99768152148,41759.19726038056
